reward_mode,seed,episode,episode_reward
full,0,0,104.16742140054703
full,0,1,104.28811350464821
full,0,2,104.71758477389812
full,0,3,105.16586392000318
full,0,4,105.07679338753223
full,0,5,104.4067717641592
full,0,6,103.65418983995914
full,0,7,103.90885346382856
full,0,8,105.15868037939072
full,0,9,105.2138262912631
full,0,10,102.24940932332538
full,0,11,103.26351746916771
full,0,12,103.28982039354742
full,0,13,102.90380366891623
full,0,14,105.44323907792568
full,0,15,105.4333201944828
full,0,16,105.1917580217123
full,0,17,104.02747735381126
full,0,18,104.64322148635983
full,0,19,103.08998808823526
full,0,20,103.47461941093206
full,0,21,105.56510035693645
full,0,22,103.73867826163769
full,0,23,103.01533976197243
full,0,24,103.56997759640217
full,0,25,103.62203913927078
full,0,26,104.59452375769615
full,0,27,104.9555793851614
full,0,28,104.24425138533115
full,0,29,103.65745763480663
full,0,30,105.77702787518501
full,0,31,104.47438678145409
full,0,32,102.98897494748235
full,0,33,102.02484039962292
full,0,34,105.2258964702487
full,0,35,102.92397924512625
full,0,36,102.22777046635747
full,0,37,104.41920479387045
full,0,38,104.59193211048841
full,0,39,103.9705662727356
full,0,40,102.38317412510514
full,0,41,102.78404902666807
full,0,42,104.4198579788208
full,0,43,103.27373569458723
full,0,44,104.61955707147717
full,0,45,103.27957250922918
full,0,46,104.72017554193735
full,0,47,104.82593600987457
full,0,48,104.51331309974194
full,0,49,101.23451583995484
full,1,0,103.30793885886669
full,1,1,103.74339397251606
full,1,2,104.18992207944393
full,1,3,105.48783664777875
full,1,4,102.40168987214565
full,1,5,104.49903535097837
full,1,6,103.17455731704831
full,1,7,106.29247580468655
full,1,8,103.24148412793875
full,1,9,103.31231402233243
full,1,10,104.05465002730489
full,1,11,104.18523319810629
full,1,12,101.5248700529337
full,1,13,104.91172109544277
full,1,14,105.72089712694287
full,1,15,105.36460798047483
full,1,16,104.57074283435941
full,1,17,103.8948470801115
full,1,18,103.87157894670963
full,1,19,104.51459418609738
full,1,20,104.58276464790106
full,1,21,103.73375295847654
full,1,22,106.18933838605881
full,1,23,105.6751509308815
full,1,24,102.8568439539522
full,1,25,103.91303186863661
full,1,26,102.71694530546665
full,1,27,105.65688383579254
full,1,28,102.57747196406126
full,1,29,105.34338539093733
full,1,30,99.74543765932322
full,1,31,103.36591006815434
full,1,32,101.41363302990794
full,1,33,103.91620802879333
full,1,34,105.60581069253385
full,1,35,104.07180899381638
full,1,36,102.45739022642374
full,1,37,105.13847760856152
full,1,38,104.99270593374968
full,1,39,105.18872349523008
full,1,40,104.4272533506155
full,1,41,104.45581698417664
full,1,42,105.13282071053982
full,1,43,105.92044161260128
full,1,44,104.76494584977627
full,1,45,102.60295009613037
full,1,46,105.38219827413559
full,1,47,104.02804072760046
full,1,48,106.0012593716383
