reward_mode,seed,n_episodes,success_rate,mean_reward,std_reward,mean_length,std_length,mean_final_distance,std_final_distance
full,0,50,1.0,104.00819373505655,1.032906542869606,10.46,2.829911659398576,0.03617508962750435,0.009442153367772533
full,1,50,1.0,104.17841655086725,1.3362875435749317,10.18,2.7253623612283198,0.03036114340648055,0.01180068520652062
sparse,0,50,0.36,36.0,48.0,336.44,218.53284970456957,0.20716471530497074,0.19444935134364824
sparse,1,50,0.02,2.0,14.0,491.68,58.239999999999995,0.6536004841327667,0.2462749619633585
no_progress,0,50,1.0,95.28549299940467,2.009741947263124,10.26,3.0053951487283666,0.03118818312883377,0.010988286416900235
no_progress,1,50,1.0,94.93993380911648,2.1780326669679524,10.38,2.7560116110060204,0.030906702261418104,0.010764798312295114
no_time_penalty,0,50,1.0,104.30354908645153,1.0730515138059011,10.08,3.005594783067072,0.034159820694476366,0.010033484785119232
no_time_penalty,1,50,0.98,100.59345136918128,21.777868652977848,28.82,91.15496475782325,0.03565699581056833,0.015485821810571327
distance_only,0,50,1.0,-4.527778982333839,1.9198471838319002,10.38,3.3875654975217824,0.034841483123600483,0.009806874695760056
distance_only,1,50,1.0,-4.8234866934269665,2.1255969699530346,10.22,2.900275848949544,0.034440089166164395,0.009482953910031842
