reward_mode,seed,episode,episode_reward
full,0,0,103.34737944230437
full,0,1,-108.87890616920777
full,0,2,-108.07026811433025
full,0,3,-198.54246432706714
full,0,4,-82.5884532155469
full,0,5,-104.27443671273068
full,0,6,-139.92068068520166
full,0,7,102.03190318867564
full,0,8,-126.6096660241019
full,0,9,-200.2532251700759
full,0,10,-290.8930488806218
full,0,11,103.16236250475049
full,0,12,-116.01173332706094
full,0,13,100.79625034891069
full,0,14,103.48051508865319
full,0,15,-302.20187664218247
full,0,16,-154.39977353811264
full,0,17,-96.62303788471036
full,0,18,-80.45980127248913
full,0,19,-199.53191518271342
full,0,20,-206.1388333607465
full,0,21,-160.14223581948318
full,0,22,-167.6407000022009
full,0,23,-75.52066503325477
full,0,24,-251.55718167312443
full,0,25,-114.9782373723574
full,0,26,91.90586252114736
full,0,27,-82.35390621818078
full,0,28,-218.33930784463882
full,0,29,102.70741294324398
full,0,30,-124.15251081016322
full,0,31,-3107.5956787411124
full,0,32,-199.22973010898568
full,0,33,-166.24534671008587
full,0,34,-127.33594632800668
full,0,35,-83.14564985525794
full,0,36,-101.13298236043192
full,0,37,101.42751638963819
full,0,38,-201.7280931698624
full,0,39,-126.68848083983175
full,0,40,-4299.21880973503
full,0,41,-172.7013017078716
full,0,42,-4035.654769498855
full,0,43,-113.2515334929194
full,0,44,-87.24327172571793
full,0,45,80.06847086502239
full,0,46,-300.6790752019733
full,0,47,-114.9702492565848
full,0,48,-127.88809730531648
full,0,49,96.63443618454039
full,1,0,-268.55783657729626
full,1,1,-58.588815404102206
full,1,2,-202.46355176717043
full,1,3,-273.7126658819616
full,1,4,-173.53939843550324
full,1,5,-165.3417512255255
full,1,6,-52.85773763805628
full,1,7,-257.0316238887608
full,1,8,103.23690757341683
full,1,9,-296.5776857584715
full,1,10,-148.8584992941469
full,1,11,-298.7251473888755
full,1,12,103.63680513761938
full,1,13,-67.37536313012242
full,1,14,-184.13068372220732
full,1,15,-45.684913489967585
full,1,16,-70.61924717575312
full,1,17,-241.51877143234015
full,1,18,-171.59031758457422
full,1,19,-233.82547369226813
full,1,20,-77.56875400058925
full,1,21,-301.6962648052722
full,1,22,-191.05473424308002
full,1,23,-358.6501652467996
full,1,24,-190.58254285156727
full,1,25,-88.21834673173726
full,1,26,-69.95798783445207
full,1,27,-249.72503328695893
full,1,28,-244.5644664298743
full,1,29,-56.92867275211029
full,1,30,-87.72961223311722
full,1,31,-154.99967632256448
full,1,32,-73.69369279476814
full,1,33,-57.84211117774248
full,1,34,-61.760285549098626
full,1,35,-94.67804995784536
full,1,36,-245.3852561339736
full,1,37,-238.94221667945385
full,1,38,-221.24886441230774
full,1,39,-42.72719088383019
full,1,40,-254.0266148597002
full,1,41,-69.45229151844978
full,1,42,-67.47387164458632
full,1,43,-92.89278748072684
full,1,44,-59.12348938919604
full,1,45,99.96815920434892
full,1,46,-220.99933041632175
full,1,47,-281.45268297567964
full,1,48,-301.06396308913827
full,1,49,-192.89170513884164
full,2,0,-125.94949744082987
full,2,1,-232.12691463925876
full,2,2,100.7885975819081
full,2,3,-129.32555984007195
full,2,4,-184.29622332961299
full,2,5,-89.7717059054412
full,2,6,-62.64328743517399
full,2,7,-254.3247863019351
full,2,8,-369.6194953620434
full,2,9,-72.48197616473772
full,2,10,-181.62586317397654
full,2,11,-63.56597598595545
full,2,12,-88.63866057898849
full,2,13,-138.53708954014837
full,2,14,98.53502985276282
full,2,15,-257.2820868398994
full,2,16,-245.7239557430148
full,2,17,-188.81441216962412
full,2,18,102.15994913876057
full,2,19,-190.92519946210086
full,2,20,98.88637284561992
full,2,21,-321.26873595267534
full,2,22,-66.79922817903571
full,2,23,-241.17413958534598
full,2,24,102.8814760055393
full,2,25,-198.9443443324417
full,2,26,-233.98280890844762
full,2,27,-151.6010911092162
full,2,28,-245.1066871639341
full,2,29,-267.1539976336062
full,2,30,-269.19550709985197
full,2,31,-88.49653735780157
full,2,32,-109.09463809989393
full,2,33,100.33035335689783
full,2,34,-110.81361578009091
full,2,35,-127.22922839503735
full,2,36,101.43005362711847
full,2,37,-167.46338439011015
full,2,38,-93.68478421051987
full,2,39,-222.5974405258894
full,2,40,-191.6031705159694
full,2,41,-170.32399084069766
full,2,42,-1277.2395795111079
full,2,43,-220.49531436525285
full,2,44,-236.33736300840974
full,2,45,-79.05474804805999
full,2,46,-357.3694695457816
full,2,47,102.87267701141536
full,2,48,-176.54564260318875
full,2,49,-231.6500052884221
full,3,0,-279.86352777667344
full,3,1,81.37914549559355
full,3,2,-192.18270855210721
full,3,3,-102.1010786567349
full,3,4,-265.65410423465073
full,3,5,-262.11573915183544
full,3,6,-106.93423834419082
full,3,7,-173.43659217306413
